,Metro Area,I,U,K,GDP,POP,FIPS,Type
11,"Dallas-Fort Worth-Arlington, TX",7007,809898,1722.016667,451414779,7337097,19100,Metropolitan Statistical Area
70,"Davenport-Moline-Rock Island, IA-IL",298,2091,115,20339874,381103,19340,Metropolitan Statistical Area
22,"Denver-Aurora-Lakewood, CO",2134,661,947.5000001,187126660,2891776,19740,Metropolitan Statistical Area
49,"Des Moines-West Des Moines, IA",862,2631,180,43692327,681413,19780,Metropolitan Statistical Area
5,"Detroit-Warren-Dearborn, MI",15402,2748,3352.5,233241705,4321593,19820,Metropolitan Statistical Area
18,"Durham-Chapel Hill, NC",4036,3721,684.5,46804056,625678,20500,Metropolitan Statistical Area
90,"Flint, MI",655,5699,95,13162959,407488,22420,Metropolitan Statistical Area
55,"Fort Collins, CO",443,0,239,16121584,344084,22660,Metropolitan Statistical Area
87,"Grand Rapids-Kentwood, MI",723,44578,355,53368797,1063670,24340,Metropolitan Statistical Area
60,"Greensboro-High Point, NC",543,60610,135,37721468,762071,24660,Metropolitan Statistical Area
94,"Greenville-Anderson, SC",401,0,337.5,39816849,895357,24860,Metropolitan Statistical Area
84,"Hartford-East Hartford-Middletown, CT",1875,420,705,89872056,1207027,25540,Metropolitan Statistical Area
10,"Houston-The Woodlands-Sugar Land, TX",4313,1502,1154.5,432329249,6900090,26420,Metropolitan Statistical Area
39,"Huntsville, AL",1252,127040,151,24113355,455892,26620,Metropolitan Statistical Area
15,"Indianapolis-Carmel-Anderson, IN",4167,852,515,122143721,2027584,26900,Metropolitan Statistical Area
59,"Jacksonville, FL",493,7125,137,71661716,1505033,27260,Metropolitan Statistical Area
51,"Kalamazoo-Portage, MI",857,23043,73,12087272,262998,28020,Metropolitan Statistical Area
20,"Kansas City, MO-KS",2288,26019,461.5,117992341,2127203,28140,Metropolitan Statistical Area
45,"Lancaster, PA",531,673,148.5,25768354,541332,29540,Metropolitan Statistical Area
89,"Lansing-East Lansing, MI",710,694917,66,21810294,548380,29620,Metropolitan Statistical Area
74,"Las Vegas-Henderson-Paradise, NV",350,4167,353,101392420,2181635,29820,Metropolitan Statistical Area
71,"Lexington-Fayette, KY",350,378374,128,25865000,512381,30460,Metropolitan Statistical Area
4,"Los Angeles-Long Beach-Anaheim, CA",12938,20563,4658,912491020,13278000,31080,Metropolitan Statistical Area
26,"Madison, WI",1642,1193413,295.5,45492200,655250,31540,Metropolitan Statistical Area
28,"Manchester-Nashua, NH",858,0,295,24782415,413204,31700,Metropolitan Statistical Area
69,"Memphis, TN-MS-AR",362,272,196,66457886,1338582,32820,Metropolitan Statistical Area
82,"Miami-Fort Lauderdale-Pompano Beach, FL",2092,615141,1094,306141923,6118155,33100,Metropolitan Statistical Area
67,"Midland, MI",325,0,24.5,4882666,83314,33220,Metropolitan Statistical Area
85,"Milwaukee-Waukesha, WI",1706,706,508,90473698,1574444,33340,Metropolitan Statistical Area
8,"Minneapolis-St. Paul-Bloomington, MN-WI",6434,927656,2041.833333,231078542,3575699,33460,Metropolitan Statistical Area
65,"Nashville-Davidson-Murfreesboro-Franklin, TN",283,764377,215,113138597,1874515,34980,Metropolitan Statistical Area
54,"New Haven-Milford, CT",1019,959618,325,47266161,857748,35300,Metropolitan Statistical Area
1,"New York-Newark-Jersey City, NY-NJ-PA",24461,319407,5514,1508145135,19322607,35620,Metropolitan Statistical Area
92,"Niles, MI",469,966,114,6828838,154128,35660,Metropolitan Statistical Area
14,"Norwich-New London, CT",4069,2519,103,16914681,267419,35980,Metropolitan Statistical Area
46,"Ogden-Clearfield, UT",917,907,126,25098089,664040,36260,Metropolitan Statistical Area
64,"Omaha-Council Bluffs, NE-IA",470,207867,135.5,55649803,931987,36540,Metropolitan Statistical Area
43,"Orlando-Kissimmee-Sanford, FL",908,0,369,119246663,2517777,36740,Metropolitan Statistical Area
62,"Oshkosh-Neenah, WI",438,1538,75.83333333,9131319,170394,36780,Metropolitan Statistical Area
19,"Oxnard-Thousand Oaks-Ventura, CA",2032,1942,395,52776068,849044,37100,Metropolitan Statistical Area
37,"Palm Bay-Melbourne-Titusville, FL",989,18180,166,22465459,587769,37340,Metropolitan Statistical Area
29,"Peoria, IL",557,1839,227,22012933,406913,37900,Metropolitan Statistical Area
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10051,2184399,1497,388791070,6078522,37980,Metropolitan Statistical Area
79,"Phoenix-Mesa-Chandler, AZ",4786,0,1369,217895725,4758748,38060,Metropolitan Statistical Area
27,"Pittsburgh, PA",1538,1285721,676,134322913,2329004,38300,Metropolitan Statistical Area
9,"Portland-Vancouver-Hillsboro, OR-WA",7369,2668,1759,143680585,2454815,38900,Metropolitan Statistical Area
38,"Providence-Warwick, RI-MA",1451,3677,328,76611155,1616614,39300,Metropolitan Statistical Area
48,"Provo-Orem, UT",694,43754,472,23037069,618035,39340,Metropolitan Statistical Area
80,"Raleigh-Cary, NC",2664,500445,620.5,71856766,1334235,39580,Metropolitan Statistical Area
56,"Richmond, VA",632,249295,188,74128689,1269566,40060,Metropolitan Statistical Area
41,"Riverside-San Bernardino-Ontario, CA",820,201109,367,159582093,4565909,40140,Metropolitan Statistical Area
34,"Rochester, NY",1042,408265,483,56587691,1071962,40380,Metropolitan Statistical Area
81,"Sacramento-Roseville-Folsom, CA",2440,0,637,124292926,2319572,40900,Metropolitan Statistical Area
12,"St. Louis, MO-IL",4170,840492,719.25,147633364,2805758,41180,Metropolitan Statistical Area
93,"Salisbury, MD-DE",406,0,19,21898288,404155,41540,Metropolitan Statistical Area
21,"Salt Lake City, UT",1106,380295,414,79689409,1204205,41620,Metropolitan Statistical Area
53,"San Antonio-New Braunfels, TX",553,3288,322.6666667,115793452,2472121,41700,Metropolitan Statistical Area
76,"San Diego-Chula Vista-Carlsbad, CA",13423,168,3624,210693896,3321237,41740,Metropolitan Statistical Area
75,"San Francisco-Oakland-Berkeley, CA",33156,2399,7749,472872746,4712421,41860,Metropolitan Statistical Area
0,"San Jose-Sunnyvale-Santa Clara, CA",56898,1153199,10467,289710772,1992674,41940,Metropolitan Statistical Area
57,"Santa Maria-Santa Barbara, CA",748,261,309,26861059,445298,42200,Metropolitan Statistical Area
91,"Santa Rosa-Petaluma, CA",513,765,160,27421167,502469,42220,Metropolitan Statistical Area
73,"Savannah, GA",368,1407,35,18839697,386394,42340,Metropolitan Statistical Area
3,"Seattle-Tacoma-Bellevue, WA",28912,1365908,4224,332835662,3885579,42660,Metropolitan Statistical Area
58,"Syracuse, NY",528,214251,137,36412174,651164,45060,Metropolitan Statistical Area
36,"Tampa-St. Petersburg-Clearwater, FL",1281,567749,453,137030695,3106922,45300,Metropolitan Statistical Area
83,"Trenton-Princeton, NJ",1939,1078,331,27815178,368168,45940,Metropolitan Statistical Area
35,"Tucson, AZ",1267,622200,493,38636977,1026391,46060,Metropolitan Statistical Area
96,"Tulsa, OK",302,28295,133,51847954,991330,46140,Metropolitan Statistical Area
13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4921,1564976,1809.833333,471918848,6211341,47900,Metropolitan Statistical Area
52,"Wichita, KS",497,78514,95,31780917,637511,48620,Metropolitan Statistical Area
97,"Winston-Salem, NC",817.5,183802,143,29500651,666640,49180,Metropolitan Statistical Area
40,"Worcester, MA-CT",940,1901,531.5,44399035,942147,49340,Metropolitan Statistical Area
